Year,Week_Number,mean_return,volatility
2022,27,-0.12425000000000003,1.9078699073399457
2022,28,1.2739999999999998,3.8395208034336785
2022,29,1.4038,2.843827473669948
2022,30,0.14959999999999998,1.0895215922596486
2022,31,0.7596,3.5841696806931447
2022,32,0.6001999999999998,1.3502202412939897
2022,33,-0.8277999999999999,2.125886450401338
2022,34,0.22859999999999997,2.810556581889075
2022,35,-1.5834000000000001,1.6826319561924408
2022,36,0.9299999999999999,1.0892752942514883
2022,37,-1.684,3.653402181528883
2022,38,-1.8484000000000003,2.548534147308998
2022,39,-1.5340000000000003,4.100034694975154
2022,40,1.4438000000000002,3.3867134068296947
2022,41,0.5172,1.0905792956039464
2022,42,1.2002000000000002,0.6830722509368976
2022,43,0.47339999999999993,5.360894542891139
2022,44,2.1824000000000003,2.7288455984170303
2022,45,2.1174,2.3892859393551036
