Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,BA,BA,BA,BA,BA,,,
2020-02-28,2020,2,28,Friday,08,2020-08,278.07,282.86,269.6,275.11,15364300,-0.043960327998201376,324.8614285714285,324.5695
2020-03-02,2020,3,2,Monday,09,2020-09,279.54,291.71,274.29,289.27,11012300,0.051470337014537515,321.05,323.70853658536583
2020-03-03,2020,3,3,Tuesday,09,2020-09,292.0,297.44,278.08,280.62,7499300,-0.029902838956707534,316.6385714285714,322.682619047619
2020-03-04,2020,3,4,Wednesday,09,2020-09,284.55,285.91,277.01,283.12,6986100,0.008908844856033937,312.19,321.7625581395349
2020-03-05,2020,3,5,Thursday,09,2020-09,275.79,276.31,259.65,260.37,14669100,-0.0803546213349694,306.30071428571426,320.36727272727273
2020-03-06,2020,3,6,Friday,09,2020-09,253.7,264.29,249.8,262.33,12861800,0.007527716295404829,300.71785714285716,319.07755555555553
2020-03-09,2020,3,9,Monday,10,2020-10,238.0,241.48,224.37,227.17,11585500,-0.13402961995591223,292.73857142857145,317.0795652173913
2020-03-10,2020,3,10,Tuesday,10,2020-10,237.0,237.83,215.0,231.01,13059600,0.01690362446116156,285.075,315.2482978723404
2020-03-11,2020,3,11,Wednesday,10,2020-10,222.99,226.99,187.0,189.08,28503500,-0.1815072666673756,274.56071428571425,312.6197916666667
2020-03-12,2020,3,12,Thursday,10,2020-10,160.53,189.85,154.81,154.84,31734400,-0.1810873977236256,262.02214285714285,309.3997959183674
2020-03-13,2020,3,13,Friday,10,2020-10,174.97,178.28,161.38,170.2,21168500,0.09919917962819569,251.47214285714284,306.61580000000004
2020-03-16,2020,3,16,Monday,11,2020-11,149.42,151.0,128.76,129.61,26844400,-0.2384841190698378,239.00571428571428,302.58099999999996
2020-03-17,2020,3,17,Tuesday,11,2020-11,132.51,134.96,101.25,124.14,54492200,-0.04220354289749351,226.045,298.44800000000004
2020-03-18,2020,3,18,Wednesday,11,2020-11,99.86,107.85,89.0,101.89,61943200,-0.1792331247736041,212.76857142857145,293.85040000000004
2020-03-19,2020,3,19,Thursday,11,2020-11,98.8,103.57,90.35,97.71,40210600,-0.04102463765055686,200.09714285714284,289.0988
2020-03-20,2020,3,20,Friday,11,2020-11,99.85,107.0,94.28,95.01,41370700,-0.027632759937987306,186.22142857142856,284.4108
2020-03-23,2020,3,23,Monday,12,2020-12,98.75,114.49,93.56,105.62,46140100,0.11167245944420001,173.72142857142856,279.83619999999996
2020-03-24,2020,3,24,Tuesday,12,2020-12,123.68,127.96,116.13,127.68,43683100,0.20886192941618376,162.61857142857144,275.8304
2020-03-25,2020,3,25,Wednesday,12,2020-12,154.9,174.77,141.0,158.73,77826000,0.24318605379189218,155.35857142857142,272.4396
2020-03-26,2020,3,26,Thursday,12,2020-12,172.29,186.48,167.18,180.55,63267300,0.1374661873088745,149.5171428571429,269.443
2020-03-27,2020,3,27,Friday,12,2020-12,172.0,172.92,155.54,162.0,47880200,-0.10274163798512992,144.86214285714286,266.126
2020-03-30,2020,3,30,Monday,13,2020-13,153.81,153.81,140.68,152.28,51052500,-0.060000007535204514,139.23857142857142,262.5708
2020-03-31,2020,3,31,Tuesday,13,2020-13,155.0,160.64,149.0,149.14,29954000,-0.02061990684803794,136.3857142857143,259.109
2020-04-01,2020,4,1,Wednesday,13,2020-13,138.91,144.38,130.0,130.7,41899700,-0.12364223224400883,134.66142857142856,255.4926
2020-04-02,2020,4,2,Thursday,13,2020-13,128.51,136.68,120.02,123.27,42372400,-0.056847746585014014,131.30928571428572,251.81460000000004
2020-04-03,2020,4,3,Friday,13,2020-13,125.0,131.29,122.5,124.52,37347400,0.010140342614102904,130.94571428571427,247.98679999999996
2020-04-06,2020,4,6,Monday,14,2020-14,133.7,149.69,129.21,148.77,51085500,0.1947478981942683,132.705,244.5394
