Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,SPY,SPY,SPY,SPY,SPY,,,
2020-03-26,2020,3,26,Thursday,12,2020-12,231.31,243.63,230.88,242.14,257632800,0.0583899359038873,232.87785714285715,280.5474
2020-03-27,2020,3,27,Friday,12,2020-12,234.79,241.78,232.73,234.93,224341200,-0.02978558705243306,231.60571428571433,279.1966
2020-03-30,2020,3,30,Monday,13,2020-13,237.04,243.28,235.03,242.56,171369500,0.03247561667409915,229.945,277.9482
2020-03-31,2020,3,31,Tuesday,13,2020-13,241.55,244.12,237.53,238.94,194881100,-0.014905334790184077,228.95071428571433,276.6084
2020-04-01,2020,4,1,Wednesday,13,2020-13,229.89,238.86,226.1,228.19,189554600,-0.045004906941802814,228.91714285714284,275.0656
2020-04-02,2020,4,2,Thursday,13,2020-13,227.3,234.24,226.74,233.46,177660400,0.023075360408529866,227.86357142857142,273.62739999999997
2020-04-03,2020,4,3,Friday,13,2020-13,232.46,234.84,227.33,230.08,135561200,-0.014454193821467065,228.50857142857146,272.1146
2020-04-06,2020,4,6,Monday,14,2020-14,239.03,247.52,230.06,245.54,188061200,0.06716615927104796,229.405,270.9654
2020-04-07,2020,4,7,Tuesday,14,2020-14,254.2,254.96,245.56,245.79,201427200,0.0010196745356481074,231.16214285714287,269.9184
2020-04-08,2020,4,8,Wednesday,14,2020-14,248.41,255.86,245.9,254.04,153774500,0.03356817376308663,233.475,268.9738
2020-04-09,2020,4,9,Thursday,14,2020-14,257.33,260.68,255.37,257.9,189999200,0.01521774268678544,236.74571428571426,268.1114
2020-04-13,2020,4,13,Monday,15,2020-15,256.92,257.26,251.61,255.55,114839100,-0.009130522758415083,240.23642857142858,267.18240000000003
2020-04-14,2020,4,14,Tuesday,15,2020-15,260.48,264.11,255.41,263.08,134143400,0.029493077706796322,242.92714285714285,266.5138
2020-04-15,2020,4,15,Wednesday,15,2020-15,257.32,263.22,255.36,257.49,121775000,-0.021248042658020272,244.97785714285715,265.6892
2020-04-16,2020,4,16,Thursday,15,2020-15,258.78,259.6,255.64,258.74,131798300,0.004824136040067373,246.16357142857143,264.7986
2020-04-17,2020,4,17,Friday,15,2020-15,264.56,266.34,261.8,265.73,146684800,0.027015394755325772,248.36357142857142,263.9778
2020-04-20,2020,4,20,Monday,16,2020-16,261.99,265.87,260.82,261.04,100109300,-0.01761770353935499,249.6835714285714,263.0426
2020-04-21,2020,4,21,Tuesday,16,2020-16,256.54,257.75,252.17,253.12,126385700,-0.030363454501200482,250.69642857142858,261.9818
2020-04-22,2020,4,22,Wednesday,16,2020-16,258.04,260.5,256.71,258.74,92951600,0.02219450804819245,252.87857142857143,260.9876
2020-04-23,2020,4,23,Thursday,16,2020-16,260.03,263.22,258.41,258.72,104709700,-7.171268407479836e-05,254.68285714285716,259.98240000000004
2020-04-24,2020,4,24,Friday,16,2020-16,260.25,263.0,258.18,262.32,85063200,0.013938619212427339,256.98571428571427,259.0094
2020-04-27,2020,4,27,Monday,17,2020-17,264.32,267.24,263.85,266.11,77896600,0.014418609196359622,258.455,258.11879999999996
2020-04-28,2020,4,28,Tuesday,17,2020-17,269.79,270.14,264.58,264.88,105270000,-0.004598627304187586,259.81857142857143,257.1936
2020-04-29,2020,4,29,Wednesday,17,2020-17,270.26,273.37,269.22,271.82,118745600,0.02617850871639571,261.0885714285714,256.4232
2020-04-30,2020,4,30,Thursday,17,2020-17,270.43,271.92,267.53,269.29,122901700,-0.009310424347511281,261.90214285714285,255.57260000000002
2020-05-01,2020,5,1,Friday,17,2020-17,264.49,269.45,260.98,262.16,125180000,-0.026473455091817533,262.37428571428575,254.605
2020-05-04,2020,5,4,Monday,18,2020-18,260.26,263.19,258.76,262.88,80873200,0.0027579720081905013,262.36,253.71579999999997
