Date,Price,Open,High,Low,Vol.,Change %,T+,range,TR
2019-03-27 00:00:00,4041.7,"3,942.80",4043.3,3936.2,2.78M,2.51,True,107.10000000000036,107.10000000000036
2019-03-28 00:00:00,4025.6,"4,041.70",4041.7,4008.4,2.11M,-0.4,False,33.29999999999973,33.29999999999973
2019-03-29 00:00:00,4102.2,"4,025.70",4123.1,4022.6,3.30M,1.9,True,100.50000000000045,100.50000000000045
2019-03-30 00:00:00,4111.8,"4,103.70",4138.1,4057.1,2.55M,0.23,True,81.00000000000045,81.00000000000045
2019-03-31 00:00:00,4102.3,"4,111.80",4121.9,4082.2,2.43M,-0.23,False,39.69999999999982,39.69999999999982
2019-04-01 00:00:00,4145.1,"4,102.30",4159.1,4076.8,3.22M,1.04,True,82.30000000000018,82.30000000000018
2019-04-02 00:00:00,4859.3,"4,145.10",4899.6,4143.5,14.77M,17.23,True,756.1000000000004,756.1000000000004
2019-04-03 00:00:00,4968.7,"4,859.30",5278.4,4814.0,13.83M,2.25,True,464.39999999999964,464.39999999999964
2019-04-04 00:00:00,4902.4,"4,968.70",5042.5,4789.2,1.05M,-1.33,False,253.30000000000018,253.30000000000018
2019-04-05 00:00:00,5010.2,"4,902.50",5029.4,4888.3,851.72K,2.2,True,141.09999999999945,141.09999999999945
2019-04-06 00:00:00,5046.2,"5,010.00",5198.4,4947.9,952.18K,0.72,True,250.5,250.5
2019-04-07 00:00:00,5173.6,"5,046.10",5219.5,5033.7,841.27K,2.53,True,185.80000000000018,185.80000000000018
2019-04-08 00:00:00,5245.2,"5,173.50",5300.6,5060.5,928.23K,1.38,True,240.10000000000036,240.10000000000036
2019-04-09 00:00:00,5158.4,"5,245.00",5245.9,5095.2,784.62K,-1.65,False,150.69999999999982,150.69999999999982
2019-04-10 00:00:00,5307.8,"5,158.40",5404.1,5142.9,837.51K,2.89,True,261.2000000000007,261.2000000000007
2019-04-11 00:00:00,5022.6,"5,307.70",5337.0,4948.0,943.49K,-5.37,False,389.0,389.0
2019-04-12 00:00:00,5054.2,"5,022.70",5080.5,4889.2,779.14K,0.63,True,191.30000000000018,191.30000000000018
2019-04-13 00:00:00,5051.8,"5,054.20",5093.4,5011.6,577.16K,-0.05,False,81.79999999999927,81.79999999999927
2019-04-14 00:00:00,5134.8,"5,052.00",5153.5,5010.7,566.38K,1.64,True,142.80000000000018,142.80000000000018
2019-04-15 00:00:00,5032.3,"5,135.10",5168.0,4964.2,688.20K,-2.0,False,203.80000000000018,203.80000000000018
2019-04-16 00:00:00,5180.9,"5,031.40",5198.4,5014.4,631.05K,2.95,True,184.0,184.0
2019-04-17 00:00:00,5208.3,"5,182.10",5230.9,5165.5,806.52K,0.53,True,65.39999999999964,65.39999999999964
2019-04-18 00:00:00,5264.7,"5,208.30",5293.1,5205.0,727.97K,1.08,True,88.10000000000036,88.10000000000036
2019-04-19 00:00:00,5241.0,"5,264.80",5282.4,5192.1,787.09K,-0.45,False,90.29999999999927,90.29999999999927
2019-04-20 00:00:00,5290.2,"5,241.00",5327.0,5240.2,782.32K,0.94,True,86.80000000000018,86.80000000000018
2019-04-21 00:00:00,5243.5,"5,290.20",5308.2,5189.8,811.41K,-0.88,False,118.39999999999964,118.39999999999964
2019-04-22 00:00:00,5346.7,"5,248.20",5370.2,5170.2,920.77K,1.97,True,200.0,200.0
2019-04-23 00:00:00,5511.6,"5,346.50",5594.4,5291.4,900.00K,3.08,True,303.0,303.0
2019-04-24 00:00:00,5415.6,"5,511.20",5589.6,5346.8,994.04K,-1.74,False,242.80000000000018,242.80000000000018
2019-04-25 00:00:00,5209.1,"5,415.60",5528.2,5137.4,955.36K,-3.81,False,390.8000000000002,390.8000000000002
2019-04-26 00:00:00,5298.3,"5,209.20",5469.3,5159.3,1.03M,1.71,True,310.0,310.0
2019-04-27 00:00:00,5265.9,"5,298.20",5318.1,5225.4,833.13K,-0.61,False,92.70000000000073,92.70000000000073
2019-04-28 00:00:00,5302.3,"5,265.70",5332.5,5234.4,681.41K,0.69,True,98.10000000000036,98.10000000000036
2019-04-29 00:00:00,5235.0,"5,302.40",5322.9,5188.9,775.82K,-1.27,False,134.0,134.0
2019-04-30 00:00:00,5320.8,"5,235.40",5336.6,5195.9,697.42K,1.64,True,140.70000000000073,140.70000000000073
2019-05-01 00:00:00,5384.2,"5,321.10",5396.3,5319.5,623.64K,1.19,True,76.80000000000018,76.80000000000018
2019-05-02 00:00:00,5493.8,"5,384.60",5530.8,5370.0,722.23K,2.04,True,160.80000000000018,160.80000000000018
2019-05-03 00:00:00,5766.8,"5,493.60",5844.2,5478.7,1.04M,4.97,True,365.5,365.5
2019-05-04 00:00:00,5830.9,"5,768.00",5899.2,5605.0,920.61K,1.11,True,294.1999999999998,294.1999999999998
2019-05-05 00:00:00,5774.9,"5,830.80",5838.2,5708.2,709.02K,-0.96,False,130.0,130.0
2019-05-06 00:00:00,5745.1,"5,775.10",5801.4,5630.5,755.39K,-0.52,False,170.89999999999964,170.89999999999964
2019-05-07 00:00:00,5849.5,"5,745.50",6019.8,5745.5,955.88K,1.82,True,274.3000000000002,274.6999999999998
2019-05-08 00:00:00,5990.3,"5,849.40",6011.3,5799.1,757.13K,2.41,True,212.19999999999982,212.19999999999982
2019-05-09 00:00:00,6191.5,"5,990.50",6206.0,5990.0,799.96K,3.36,True,216.0,216.0
2019-05-10 00:00:00,6386.0,"6,194.30",6466.6,6157.8,907.94K,3.14,True,308.8000000000002,308.8000000000002
2019-05-11 00:00:00,7190.3,"6,386.60",7373.8,6386.5,1.31M,12.59,True,987.3000000000002,987.8000000000002
2019-05-12 00:00:00,6984.8,"7,190.00",7518.9,6802.6,1.35M,-2.86,False,716.2999999999993,716.2999999999993
2019-05-13 00:00:00,7806.0,"6,984.70",8058.3,6893.1,1.20M,11.76,True,1165.1999999999998,1165.1999999999998
2019-05-14 00:00:00,7994.6,"7,806.40",8323.9,7674.0,1.33M,2.42,True,649.8999999999996,649.8999999999996
2019-05-15 00:00:00,8164.6,"7,994.80",8225.3,7856.5,1.13M,2.13,True,368.7999999999993,368.7999999999993
2019-05-16 00:00:00,7871.8,"8,164.80",8293.3,7720.4,1.18M,-3.59,False,572.8999999999996,572.8999999999996
2019-05-17 00:00:00,7359.5,"7,871.90",7924.0,6998.6,1.43M,-6.51,False,925.3999999999996,925.3999999999996
